chr	pos	weight
I	397898	152.6
I	536855	147.7
I	315229	122.9
I	382525	130.3
I	535441	135.6
I	882789	27.4
I	518618	135.3
I	17017	102.7
I	757094	47.9
I	110737	73
I	316251	23.9
I	826323	45.6
I	70102	73.3
I	3907	24.5
I	488440	61.9
I	108344	40.6
I	260346	59.8
I	182987	55.8
I	27179	34
I	881678	27.8
I	395393	42.5
I	122524	36.3
I	461770	30.9
I	289158	45.5
I	381655	43.3
I	716748	37.6
I	663683	40.8
I	719986	40.8
I	43116	16.3
I	673122	23.4
I	853334	32.4
I	818288	31.3
I	613389	14.9
I	22357	29.1
I	268778	35
I	454904	31.4
